Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Bigbasket,"Baby Wipes - Cherry Blossom, No Paraben, Double Moisturising",Rs.105,47% OFF,,,
Figaro,Olive Oil,Rs.3279.99,18% OFF,2 l - Tin,4.4,2341 Ratings
Bigbasket,"Baby Wipes - Fresh, No Paraben, Double Moisturising",Rs.105,47% OFF,,,
Amul,"Spray Infant Milk Food/Substitute, Made by Spray-Drying Process",Rs.455,,1 Kg - Pouch,4.4,1493 Ratings
Pampers,Diaper Pants - Extra Large,Rs.1014,28% OFF,56 pcs,4.2,980 Ratings
Johnson's baby,Baby Powder - Blossoms Natural,Rs.240,,,4.5,190 Ratings
Pampers,"Premium Care Diaper Pants - XL, 12-17 kg, Lotion With Aloe Vera",Rs.1135.99,19% OFF,,4.2,315 Ratings
Bigbasket,"Baby Wipes - Sea Breeze, No Paraben, Double Moisturising",Rs.105,47% OFF,,,
Himalaya,"Gentle Baby Soap - With Oils Of Olive & Almond, For Daily Use",Rs.186,,75 g - (Pack of 4),4.3,213 Ratings
Pampers,Baby Wipes - With Aloe,Rs.418.6,30% OFF,,4.2,195 Ratings
Johnson's baby,Baby Lotion,Rs.288.75,25% OFF,,4.2,138 Ratings
Colgate,"Kids Toothpaste - For 2 To 5 Years, Strawberry Flavour",Rs.142.56,12% OFF,80 g,4,879 Ratings
Himalaya,"Gentle Baby Wash - Paraben Free, No Tears Formula",Rs.290,,,3.9,368 Ratings
Johnson's baby,Baby Soap - Blossoms,Rs.75,,,4.3,161 Ratings
Johnson's baby,Baby Skincare Wipes - Super Saver Pack,Rs.474.3,Rs.36 OFF,,4.5,474 Ratings
Parachute,Advansed Baby Massage Oil,Rs.184,20% OFF,,5,3 Ratings
Pampers,"Premium Care Diaper Pants - Medium, 7-12 kg, Air Channels, Lotion with Aloe Vera",Rs.299,,,4.7,3 Ratings
Himalaya,"Baby Cream - Extra Soft & Gentle, Paraben Free",Rs.175,,,4.7,30 Ratings
Pampers,"Taped Baby Diapers - Soft, Up To 12 Hours Absorption, 5 Star Skin Comfort, Size NB",Rs.1077.02,Rs.22 OFF,,4.5,69 Ratings
Nestle,Ceregrow Multigrain Cereal With Milk & Fruits - From 2 To 6 Years,Rs.316.35,Rs.17 OFF,,4.3,1705 Ratings
Pampers,"Active Baby Diapers - Small, 3-8 kg, Extra Dry Layer",Rs.1518.02,Rs.31 OFF,92 pcs,4.5,362 Ratings
Similac,Isomil Soy Based Lactose Free Infant Formula Up To 24 Months,Rs.645,,,4.5,70 Ratings
Nestle,"Cerelac Baby Cereal With Milk, 5 Grains & Vegetables- From 18 To 24 Months",Rs.329,,,4.2,431 Ratings
Mamypoko,Pants Extra Absorb Diapers - Small,Rs.899.1,Rs.100 OFF,,4.5,22 Ratings
Similac,Stage 2 Follow-Up Formula - 6 To 12 Months,Rs.600,,,4.4,80 Ratings
Johnson's baby,Baby Hair Oil - Avocado & Pro-Vitamin B's,Rs.185,,,4.4,177 Ratings
Johnson's baby,Baby Wash Top-To-Toe,Rs.388,Rs.12 OFF,500 ml,4.4,294 Ratings
Nestle,Lactogen Pro 3 Infant Formula Powder - After 12 Months Upto 18 Months,Rs.460,,,4.4,481 Ratings
Johnson's baby,Baby Milk Cream,Rs.190,,,4.4,129 Ratings
Himalaya,"Baby Cream - Extra Soft & Gentle, Paraben Free",Rs.280,,,4.4,106 Ratings
Pampers,"New Baby Taped Diapers - Soft, 12 Hours Absorption, 5 Star Skin Comfort, Up To 5 Kg",Rs.324,Rs.36 OFF,,4.4,497 Ratings
Himalaya,Baby Powder - Paraben Free,Rs.105,,,4.4,109 Ratings
Nestle,"Baby Cereal With Milk, Wheat Apple Cherry - From 8 To 24 Months",Rs.310,,,4.3,975 Ratings
Mamaearth,Milky Soft Face Cream For Babies,Rs.189.05,Rs.10 OFF,,4.3,155 Ratings
Nestle,Lactogen Pro 4 Infant Formula Powder - After 18 Upto 24 Months,Rs.460,,,4.3,424 Ratings
Nestle,"Cerelac Baby Cereal - With Milk, Rice Vegetables, From 8 To 24 Months",Rs.300,,,4.3,414 Ratings
Johnson's baby,Skin Care Wipes,Rs.280,,,4.3,585 Ratings
Nestle Nan Pro,"3 Follow-Up Formula Powder - After 12 Months, Up To 18 Months, Stage 3",Rs.825,,,4.3,436 Ratings
Aptamil,"Gold Infant Formula Powder - Upto 6 Months, Stage 1, With Prebiotics, DHA, Iron",Rs.975,,,4.3,125 Ratings
Nestle,"Baby Cereal With Milk, Wheat Apple - From 6 To 24 Months",Rs.260,,,4.4,1097 Ratings
Pampers,"All-Round Protection Diaper Pants - Extra Large, 12-17 kg, Anti-Rash, Ultra Absorb, Leakage Prevention for upto 12 Hours",Rs.2518.2,Rs.280 OFF,,4.3,349 Ratings
Johnson's baby,Baby Milk + Rice Cream,Rs.100,,,4.3,163 Ratings
Nestle,"Cerelac Baby Cereal - With Milk, Wheat, From 6 To 24 Months",Rs.250,,,4.3,503 Ratings
Johnson's baby,Baby Oil with vitamin E 200 ml,Rs.240,,,4.3,234 Ratings
Johnson's baby,Baby Soap,Rs.354.9,Rs.35 OFF,150 g - (Buy 3 Get 1 Free),4.3,119 Ratings
Nestle,Lactogen Pro 2 Infant Formula Powder - After 6 Upto 12 Months,Rs.485,,,4.3,822 Ratings
Himalaya,"Baby Lotion - With Almond Oil & Olive Oil, Paraben Free",Rs.195,,,4.3,1453 Ratings
Himalaya Baby,Baby Powder,Rs.290,,,4.3,1776 Ratings
Himalaya,Baby Massage Oil - With Olive Oil & Winter Cherry,Rs.445,,500 ml,4.3,282 Ratings
Himalaya,"Gentle Baby Shampoo - Mild, No Tears, Paraben Free",Rs.370,,400 ml,4,373 Ratings
Nestle,"Nestum Baby Cereal - Rice, From 6 To 24 Months",Rs.189,,,4.3,208 Ratings
Horlicks,"Mother's Plus, Kesar",Rs.565.25,Rs.30 OFF,,4.3,157 Ratings
Dabur,Ayurvedic Medicine Lal Tail,Rs.368,20% OFF,500 ml,4.3,90 Ratings
Pampers,Diaper Pants - Medium,Rs.1240.91,11% OFF,,4.2,162 Ratings
Pampers,Diaper Pants - Large,Rs.2434.26,13% OFF,128 pcs,4.2,872 Ratings
Nestle Nan Pro,"2 Follow-Up Formula Powder - After 6 Months, Up To 12 Months, Stage 2",Rs.825,,400 g - Bag-In-Box,4.2,833 Ratings
Easum,"Baby Cereal - Rice & Moong Dal, 6-24 Months, Milk Free",Rs.345,,,4.2,44 Ratings
Pampers,Diaper Pants -Medium,Rs.899,,,4.2,261 Ratings
Johnson's baby,No More Tears Baby Shampoo,Rs.445,11% OFF,500 ml,4.2,145 Ratings
Nestle,"Cerelac Baby Cereal - With Milk, Multigrain & Fruits, From 12 To 24 Months",Rs.322,,,4.3,1881 Ratings
Baby Dove,"Rich Moisture Lotion - Sensitive Care, Natural, No Parabens",Rs.215,,,4.2,388 Ratings
Pampers,"Premium Care Diaper Pants - XL, 12-17 kg, Lotion With Aloe Vera",Rs.1135.99,19% OFF,,4.2,315 Ratings
