Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Colgate,Anticavity Toothpaste,Rs.161.5,15% OFF,,4.2,5286 Ratings
Tresemme,Keratin Smooth Shampoo,Rs.786.87,37% OFF,1 L,4.2,4389 Ratings
Gillette,Mach 3 Shaving Razor (Handle + 2 Cartridge),Rs.361.25,15% OFF,,3.8,965 Ratings
Pantene,Pro-V Advanced Solution 2 In1 Shampoo & Conditioner - For Hairfall Control,Rs.547.53,50% OFF,,4.1,224 Ratings
Dettol,Liquid Handwash Refill - Original Hand Wash Germ defence Formula | 10x Better Germ Protection,Rs.74.25,25% OFF,675ml,4.3,26481 Ratings
Colgate,Strong Teeth Anticavity Toothpaste,Rs.277.2,12% OFF,500 g - (250 g x 2 N),4.1,10309 Ratings
Dettol,"Germ Protection ph-Balanced Liquid Handwash Refill, Skincare",Rs.94.05,5% OFF,675ml - Refill,4.3,5741 Ratings
Parachute,Coconut Oil - 100% Pure,Rs.373.5,Rs.42 OFF,1 L - Pet Jar,4.2,25626 Ratings
Dove,"Cream Beauty Bathing Soap Bar Combo, With Moisturising Cream",Rs.609.28,32% OFF,125 gm - Pack of 8,4.2,3586 Ratings
Sensodyne,"Toothpaste Combo Pack - Repair & Protect, For Deep Repair Of Sensitive Teeth",Rs.408.5,Rs.22 OFF,70 g - (Pack of 2),4.2,4369 Ratings
STAYFREE,"Dry-Max All Night XXL - Sanitary Pads For Women, With Wings",Rs.491.18,18% OFF,42 pcs - (Super Saver Pack),4.2,3000 Ratings
Dettol,Antiseptic Disinfectant Liquid,Rs.1805.74,,5 L,4.3,34488 Ratings
Godrej Protekt,"Mr.Magic Powder to Liquid Handwash - Neem & Aloe Vera, Protection Against Germs",Rs.38,5% OFF,9 g - (Empty Bottle + Refill ),4.3,3645 Ratings
Patanjali,Dant Kanti Natural Toothpaste,Rs.115,,200 g,4.2,6857 Ratings
Sensodyne,"Toothpaste - Fresh Gel, Sensitive For Daily Sensitivity Protection, Combo Pack",Rs.655.5,Rs.35 OFF,150 g - (Pack of 3),4.2,3010 Ratings
NIVEA,"Soft Light Moisturiser - With Vitamin E & Jojoba Oil, For Face, Hand & Body, Instant Hydration, Non-Greasy Cream",Rs.467.5,15% OFF,300 ml,4.3,4472 Ratings
Vaseline,Deep Moisture Serum In Lotion - For Dry Skin,Rs.500,20% OFF,600 ml,4.3,8765 Ratings
L'OREAL PARIS,Excellence Creme Hair Colour,Rs.679,,,3.8,521 Ratings
Pears,"Pure & Gentle Glycerin & Natural Oils Soap Bar, 98% Pure Glycerine & Natural Oils",Rs.149,,75 g - (Buy 3 Get 1 Free),4.1,3663 Ratings
Garnier,Color Naturals Crème Riche Nourishing Permanent Hair Color - No Ammonia,Rs.219,,,4.1,1214 Ratings
Cinthol,Refreshing Deo Lime Bath Soap,Rs.206.8,12% OFF,150 g - (Pack of 4),4.2,4315 Ratings
Eno,Fruit Salt - Lemon Flavor,Rs.10,,,4.3,3236 Ratings
Whisper,"Ultra Clean Sanitary Pads - XL Plus, Locks Wetness & Odour",Rs.439.12,33% OFF,,4.2,5196 Ratings
Dettol,"Bathing Soap Bar - Original, 99.99% Germ Protection, Dermatologically Tested",Rs.67,,125 g,4.2,2298 Ratings
Colgate,Visible White Toothpaste - Sparkling Mint,Rs.161.5,15% OFF,100 g,4.2,3142 Ratings
Lakme,Peach Milk Moisturizer SPF 24 PA++,Rs.416,20% OFF,200 ml,4.1,657 Ratings
Fiama,Blackcurrant & Bearberry Gel Bar,Rs.76,20% OFF,,4.2,742 Ratings
Savlon,Moisture Shield Germ Protection Liquid Handwash,Rs.191.4,40% OFF,1.5 l - Refill Pack,4.3,5530 Ratings
Godrej Protekt,"Masterblaster Handwash - Naturally Derived, Fights Germs",Rs.189.05,Rs.10 OFF,1.5 L,4.2,4073 Ratings
Dabur Red,"Paste, Ayurvedic Fluoride Free Toothpaste",Rs.264,20% OFF,600 g - (Get 1 pc x 150 g Free),4.2,3268 Ratings
Medimix,"Ayurvedic Bathing Soap with 18 Herbs, Effective for Skin Problems, Handmade",Rs.200,,125 g - Buy 4 Get 1 Free,4.2,2274 Ratings
Colgate,Maxfresh Toothpaste - Spicy Fresh,Rs.391.68,28% OFF,600 g - (4 x 150 g),4.3,4827 Ratings
Pears,"Pure & Gentle Shower Gel - With 98% Pure Glycerine, 100% Soap Free & No Parabens",Rs.123.2,12% OFF,250 ml - (Free Loofah),4,760 Ratings
Bigbasket,"Wet Wipes - Lavender, Double Moisturising, Extra Thick, No Paraben",Rs.105,47% OFF,,4.2,1327 Ratings
Himalaya,Purifying Neem Face Wash,Rs.167.49,18% OFF,150 ml,4.2,5235 Ratings
Himalaya,Almond & Rose Soap,Rs.58.88,8% OFF,125 g,4.2,957 Ratings
Colgate,Anticavity Toothpaste,Rs.161.5,15% OFF,,4.2,5286 Ratings
L'OREAL PARIS,Extraordinary Oil Nourishing Shampoo For Dry & Dull Hair,Rs.1149,,1000 ML,4.1,1110 Ratings
Fiama,"Gel Bathing Bar - Assorted Fragrances, Fresh Celebration Pack",Rs.225.25,15% OFF,375 g - (3 pcs x 125 g each),4.3,4176 Ratings
Dove,Nutri Serum Hair Fall Rescue Nourishing Shampoo,Rs.723.87,37% OFF,1 L,4.1,6256 Ratings
Himalaya,Complete Care Toothpaste,Rs.89.1,10% OFF,,4.2,4634 Ratings
Kare In,Kare in Adult Diapers Medium,Rs.385,,,4,126 Ratings
Santoor,Classic Gentle Hand Wash - With Goodness Of Sandalwood & Tulsi,Rs.89.1,10% OFF,200 ml - (Pack of 2),4.2,548 Ratings
Himalaya,"Anti-Hair Fall Shampoo With Bhringaraja, For All Hair Types",Rs.712.58,18% OFF,1 L,4,727 Ratings
Colgate,MaxFresh Toothpaste - Peppermint Ice Flavour,Rs.391.68,28% OFF,600 g - (150g x 4),4.2,4593 Ratings
Sensodyne,"Toothpaste - Fresh Mint, Sensitive For Daily Sensitivity Protection",Rs.240,,150 g,4.2,1394 Ratings
Whisper,Ultra Skin love Soft Sanitary Pads for Women  XL With Disposable Wrap,Rs.480,,45 pcs,4.1,912 Ratings
Dettol,Germ Protection Wet Wipes - For Skin & Surfaces,Rs.197.1,Rs.22 OFF,80 pcs,4.3,644 Ratings
Vwash,Plus Expert Intimate Hygiene,Rs.543.15,15% OFF,350 ml - Bottle,4.3,872 Ratings
Ponds,Dreamflower Fragrant Talc,Rs.327.75,Rs.17 OFF,400 g,4.2,3723 Ratings
Dabur,Gulabari Premium Rose Water,Rs.49.4,5% OFF,120 ml,4.3,6322 Ratings
Close Up,Toothpaste  Long lasting 18 Hours Of Fresh Breath & White Teeth,Rs.117,Rs.13 OFF,150 gm,4.2,4583 Ratings
STAYFREE,"Sanitary Pads - Secure Cottony, XL",Rs.245,11% OFF,,4.2,4373 Ratings
Patanjali,Dant Kanti Advanced Toothpaste,Rs.81,10% OFF,,4.2,1349 Ratings
Himalaya,"Moisturizing Aloe Vera Face Gel - Non-sticky, Restore Moisture Balance, For Healthy Skin",Rs.82.8,8% OFF,,4.2,317 Ratings
STAYFREE,Cottony XL,Rs.117.06,Rs.7 OFF,18 pcs,4.2,8433 Ratings
STAYFREE,Secure Nights Sanitary Pads - XXL,Rs.300.3,Rs.30 OFF,40 pcs,4.2,2226 Ratings
Dove,"Fresh Moisture Beauty Bathing Bar - Cucumber & Green Tea Scent, Refreshed Skin",Rs.375,,75 g - (Buy 5 Get 1 Free),4.2,1655 Ratings
Himalaya,Neem & Turmeric Soap,Rs.58.88,8% OFF,125 g,4.3,702 Ratings
Dove,Nutri Serum Daily Shine Nourishing Shampoo,Rs.723.87,37% OFF,1 L,4.1,1708 Ratings
Colgate,Active Salt Toothpaste,Rs.292.4,15% OFF,"500 g - (Buy 2, 200 g + Get 1 Free, 100 g)",4.1,2840 Ratings
Parachute Advansed,Gold Coconut Hair Oil,Rs.199.75,15% OFF,,4.1,3394 Ratings
Gillette Venus,Simply Venus 3 Blade Hair Removal Razor - For Women,Rs.350,,5 pcs - (Buy 4 Get 1 Free),4.2,2049 Ratings
Sunsilk,"Stunning Black Shine Shampoo - With Amla + Oil, Pearl Protein & Vitamin E, For Long Lasting Shine",Rs.799.2,20% OFF,1 L,4.2,2657 Ratings
Tresemme,Keratin Smooth Conditioner,Rs.420,20% OFF,335 ml,4.2,2691 Ratings
Clinic Plus,"Strong & Long Health Shampoo - Milk Protein, Multi Vitamin",Rs.711.2,20% OFF,1 L,4.2,3674 Ratings
Godrej No.1,"Lime & Aloe Vera Bathing Soap, Gives Fresh & Soft Skin",Rs.118.75,Rs.6 OFF,,4.2,1593 Ratings
Boroplus,"100% Organic Aloe Vera Gel With Vitamin E, For Face, Body & Hair, Paraben & Sulphate Free",Rs.92,Rs.8 OFF,,4.1,646 Ratings
Savlon,Antiseptic Disinfectant Liquid,Rs.174.66,15% OFF,500 ml,4.3,1546 Ratings
Eno,Fruit Salt - Lemon,Rs.175,,100 g - Jar,4.1,1577 Ratings
Nycil,Germ Expert Prickly Heat Powder – Classic,Rs.141.55,Rs.7 OFF,,4.1,136 Ratings
Dettol,"Foaming Handwash - 10x Better Germ Protection, Strawberry",Rs.155.48,Rs.14 OFF,,4,250 Ratings
Sensodyne,Sensitive Toothbrush - With Soft Rounded Bristles,Rs.144,Rs.16 OFF,4 pcs,4.3,6507 Ratings
Pepsodent,Toothpaste - Germi Check Cavity Protection,Rs.158.1,15% OFF,150 g - (Pack of 2),4.2,3934 Ratings
Palmolive,Aroma Absolute Relax With Ylang Ylang Essential Oil & Iris Shower Gel,Rs.323.4,40% OFF,750 ml,4.2,1371 Ratings
Clean & Clear,"Foaming Face Wash - Oil-Free, Wont Clog Pores, Removes Oil & 99.8% Pimple Causing Germs",Rs.232.5,Rs.18 OFF,150 ml,4.2,2728 Ratings
