Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Himalayan,"Natural Mineral Water - With Magnesium, Sodium & Calcium",Rs.76.8,4% OFF,,4.2,433 Ratings
Red Label,Tea,Rs.122,Rs.8 OFF,250 g - Carton,4.1,14109 Ratings
fresho!,"Tender Coconut Water - No Added Sugar, Flavours",Rs.43,14% OFF,,4,2631 Ratings
Tata Tea Premium,Tea,Rs.580.65,21% OFF,1. 5 kg,4.1,6573 Ratings
Red Label,Tea - Natural Care,Rs.540,Rs.50 OFF,1 kg,4.1,3766 Ratings
Glucon-D,Instant Energy Nutrition Drink - Tangy Orange,Rs.53,,75 g - (Get 50 g Free),4.2,1766 Ratings
Emperia,Premium Tea - With 20% Extra Long Leaf,Rs.438,30% OFF,,3.9,18 Ratings
Emperia,Kadak Tea,Rs.378,34% OFF,,3.9,26 Ratings
Fresho,Tender Coconut Water With Pulpy Malai,Rs.47,22% OFF,,3.9,439 Ratings
Horlicks,Nutrition Drink,Rs.250,Rs.14 OFF,500 g - Jar,4.1,936 Ratings
Taj Mahal,Tea,Rs.340,,500 g,4,4584 Ratings
Cadbury Bournvita,Chocolate Nutrition Drink,Rs.306.64,19% OFF,750 g - Pouch,4.2,2121 Ratings
Pediasure,"Nutrition Drink Powder - Chocolate Flavour, Nutrition For Kids Growth",Rs.1499.4,16% OFF,950 g - Box,4.1,1963 Ratings
Nescafe,Classic 100% Pure Instant Coffee,Rs.1460,,500 g - Stabilo,4.2,1327 Ratings
Sprite,Soft Drink - Refreshing,Rs.38,5% OFF,750 ml - Pet Bottle,4.1,2763 Ratings
Tata Tea Gold Care,Goodness Of 5 Natural Flavours,Rs.132,12% OFF,250 g,4.1,2437 Ratings
Paper Boat,Aamras Mango Fruit Juice,Rs.19.4,3% OFF,150 ml,4.1,1186 Ratings
Glucon-D,Instant Energy Nutrition Drink - Nimbu Pani,Rs.83,,200 g - Refill,4.3,1354 Ratings
Pepsi,Soft Drink,Rs.40,,750 ml,4.1,6369 Ratings
Bisleri,Drinking Water With Added Minerals,Rs.30,,2 L - Bottle,,
7 Up,Soft Drink,Rs.88,12% OFF,2.25 L,4.2,4483 Ratings
