Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Good knight,"Gold Flash Liquid Vaporiser, Mosquito Repellent Refill - Lavender Fragrance",Rs.285.2,Rs.25 OFF,,4.3,202 Ratings
Ariel,Matic Liquid Detergent - Front Load,Rs.599.25,25% OFF,3.2 L,4.2,317 Ratings
BB Home,"Aluminium Foil - 10.5 Microns, Regular",Rs.485,Rs.14 OFF,72 mtr - Mono Carton,,
Ariel,Matic Liquid Detergent - Top Load,Rs.524.25,25% OFF,3.2 L,4.1,436 Ratings
Vim,Dishwash Bar - Lemon,Rs.54,10% OFF,500 g,4.1,21813 Ratings
Surf Excel,Easy Wash Detergent Powder,Rs.675.4,12% OFF,5 kg,4.2,20185 Ratings
Daivya Sparsh by bigbasket,Camphor Bhimseni Flakes - 100% Pure,Rs.205,27% OFF,100 g - JAR,,
Surf Excel,Detergent Bar,Rs.10,,80 g - Pouch,4.2,24258 Ratings
Harpic,"Disinfectant Toilet Cleaner Liquid, Original",Rs.197.81,12% OFF,1 L,4.1,12867 Ratings
Good knight,"Power Activ+ Liquid Vapourizer, Mosquito Repellent Refill",Rs.427.8,Rs.37 OFF,,4.2,2005 Ratings
Patanjali,Super - Dishwash Bar,Rs.10,,,4.2,8945 Ratings
Surf Excel,"Matic Top Load Liquid Detergent, Designed For Tough Stain Removal - Refill Mega Pack",Rs.575,16% OFF,3.2 L,4.2,2496 Ratings
Ariel,"Matic Top Load Detergent Powder - Removes Tough Stains, Provides Long Lasting Fragrance",Rs.1525.7,10% OFF,5 kg - (Get 3 kg Extra Free),4.2,9009 Ratings
Lizol,Disinfectant Surface & Floor Cleaner Liquid - Citrus,Rs.873.08,Rs.76 OFF,5 L,4.1,4386 Ratings
Tide,Double Power Detergent Washing Powder Jasmine & Rose,Rs.768.75,25% OFF,6 kg - + 2 kg Free,4.2,7075 Ratings
Wheel,Active 2 In 1 Detergent Powder,Rs.59,,,4.3,665 Ratings
BB Home,"Garbage Bags - Medium, Blue, 48 x 53 cm",Rs.69,19% OFF,,4,9973 Ratings
HIT,Mosquito & Fly Killer Spray,Rs.96.03,3% OFF,200 ml,4.2,4987 Ratings
Nimyle,"Floor Cleaner - Herbal, With Power Of Neem",Rs.331.17,17% OFF,2 L,4.2,180 Ratings
Harpic,"Disinfectant Bathroom Cleaner Liquid, Lemon",Rs.199.5,Rs.11 OFF,1 L,4.1,5215 Ratings
Vim,Dishwash Liquid Gel Lemon Refill Pouch,Rs.381,14% OFF,,4.2,15196 Ratings
Sunlight,Detergent Powder,Rs.100,,1 kg,4.3,5766 Ratings
Harpic,White & Shine Disinfectant Toilet Cleaner Bleach,Rs.105.6,Rs.4 OFF,,4.2,6500 Ratings
Good knight,"Gold Flash Liquid Vapourizer, Mosquito Repellent",Rs.234.6,Rs.20 OFF,45 ml each - (1 Machine + 3 Refills),4.1,1564 Ratings
