Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
bb Royal,Organic - Almond/Badam,Rs.559,17% OFF,500 g,3.9,17407 Ratings
Mai Rasoi,Green Cardamom/Hari Elaichi/Yalakki,Rs.213.75,Rs.11 OFF,50 g,,
bb Royal,Organic - Jaggery Powder,Rs.127,33% OFF,1 kg - Jar,,
Mai Rasoi,WHITE TIL 100 gm,Rs.59,,,4.1,73 Ratings
Mai Rasoi,"MAI RASOI REGULAR INDIAN RAISIN   KISMIS   KISHMISH 200 GM , POUCH",Rs.89.1,10% OFF,,4.1,39 Ratings
Mai Rasoi,MAI RASOI POPPY SEEDS POSTO DANA  KHUS  KHUS 100 GM,Rs.290.03,Rs.9 OFF,,,
fresho!,Pure Ghee,Rs.699,13% OFF,1 L,4.1,8419 Ratings
Tata Sampann,Unpolished Kabuli Chana - Big Size,Rs.127.4,Rs.3 OFF,500 g - Pouch,4,2892 Ratings
Mai Rasoi,CINNAMON DALCHINI 50 gm,Rs.42.75,5% OFF,,3.5,187 Ratings
Mai Rasoi,Kala/Brown Chana,Rs.280,,,,
Hathi,Mustard Oil,Rs.135,23% OFF,1 L,4.1,470 Ratings
bb Popular,Sugar,Rs.28,15% OFF,500 g,4,23930 Ratings
Fortune,Premium Kachi Ghani Pure Mustard Oil,Rs.742.65,Rs.57 OFF,5 L - Jar,4.2,25231 Ratings
Engine,Kacchi Ghani Mustard Oil,Rs.155,Rs.15 OFF,,4.3,7174 Ratings
Saffola,"Gold Refined Cooking Oil - Blend Of Rice Bran & Corn Oil, Multi-Source Edible",Rs.140.4,22% OFF,,4.1,2050 Ratings
Tata Salt,Vacuum Evaporated Iodised Salt - Helps Mental Development,Rs.26,7% OFF,,4.2,41519 Ratings
Jalan,"Chana Sattu - 100% Natural & Premium, High In Fibre",Rs.83,14% OFF,500 g,4.2,85 Ratings
bb Popular,Cashew/Kaju - Whole,Rs.405,46% OFF,500 g,4,10231 Ratings
Dhara,Oil - Mustard (Kachi Ghani),Rs.138,14% OFF,,4.1,14193 Ratings
Mai Rasoi,Premium California Almond/Badam,Rs.229.5,Rs.26 OFF,,4.2,12 Ratings
