Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
fresho!,Watermelon  - Small,Rs.99.65,27% OFF,1 pc - 1.7 - 2.5 kg,,
Fresho,Onion,Rs.39,39% OFF,1 kg,,
fresho!,Tomato - Local,Rs.40,46% OFF,1 kg,,
fresho!,Potato,Rs.175,34% OFF,5 kg,,
Fresho,Ladies' Fingers,Rs.26,72% OFF,1 kg,,
fresho!,Cucumber,Rs.20,51% OFF,500 g,,
fresho!,Coriander Leaves,Rs.58,54% OFF,250 g,,
fresho!,Carrot - Orange,Rs.63.51,27% OFF,1 kg,,
Fresho,Mushroom - Button,Rs.66,27% OFF,,,
fresho!,"Mango - Alphonso, Ratnagiri",Rs.221.92,27% OFF,2 pcs - (Approx. 225 - 250g per pc),,
fresho!,Ginger,Rs.22,57% OFF,100 g,,
fresho!,Banganapalli Mango,Rs.109,27% OFF,,,
fresho!,Garlic,Rs.65,43% OFF,250 g,,
Fresho,Lemon,Rs.182.5,27% OFF,1 kg,,
fresho!,Raw Mango - Rich in Vitamin C,Rs.64.97,27% OFF,500 g,,
Fresho,Sponge Gourd,Rs.28,27% OFF,500 g,,
fresho!,Tender Coconut,Rs.65,34% OFF,,,
fresho!,Lemon,Rs.21,54% OFF,3 pcs,,
Fresho,"Chilli - Green Long, Medium",Rs.73,27% OFF,500 g,,
Fresho,Capsicum - Green,Rs.40,32% OFF,250 g,,
fresho!,Potato - Red,Rs.128.5,27% OFF,5 kg,,
fresho!,Blueberry,Rs.331.47,27% OFF,,,
Fresho,Beetroot,Rs.75.19,27% OFF,1 kg,,
Fresho,Cabbage,Rs.32,27% OFF,,,
Fresho,"Apple - Royal Gala, Regular",Rs.232.17,27% OFF,,,
Fresho,Bitter Gourd,Rs.79,27% OFF,1 kg,,
fresho!,Onion - Sambhar,Rs.50.37,27% OFF,1 kg,,
fresho!,Coccinia,Rs.56,27% OFF,1 kg,,
fresho!,Ash Gourd,Rs.83.22,27% OFF,1 kg,,
fresho!,Kiwi Green Imported,Rs.144.66,27% OFF,,,
Fresho,Curry Leaves,Rs.18,27% OFF,,,
fresho!,Fresho Wood Apple (Bael),Rs.51,27% OFF,,,
fresho!,Pumpkin - Green,Rs.29.2,27% OFF,500 g,,
fresho!,Mosambi - Economy,Rs.201,27% OFF,2 kg,,
fresho!,Pumpkin - Disco,Rs.29.2,27% OFF,500 g,,
fresho!,"Avocado - Imported, Medium",Rs.209.25,27% OFF,,,
fresho!,Langra Mango,Rs.79,59% OFF,,,
Fresho,"Dates - Kimia, with Seed",Rs.225,27% OFF,,,
Fresho,"Apple - Fuji, Regular",Rs.273.91,27% OFF,,,
fresho!,Parwal,Rs.20,53% OFF,500 g,,
fresho!,Pineapple,Rs.91,27% OFF,,,
fresho!,Apple - Royal Gala Economy,Rs.271,27% OFF,,,
fresho!,Bitter Gourd - Forest,Rs.59.86,27% OFF,500 g,,
fresho!,Broccoli,Rs.283,27% OFF,,,
fresho!,Grapes - Red Globe,Rs.397,27% OFF,500 g,,
fresho!,Orange - Imported,Rs.257,27% OFF,,,
fresho!,Turmeric - Fresh,Rs.152.57,27% OFF,1 kg,,
fresho!,Mango Slice/Amsatta - Regular,Rs.62.78,27% OFF,,,
fresho!,Colocasia,Rs.112,27% OFF,1 kg,,
fresho!,Bottle Gourd,Rs.39,51% OFF,,,
fresho!,Dasheri Mango (Malihabadi),Rs.126,27% OFF,,,
fresho!,Lalbagh Mango - Sindhura,Rs.253.31,27% OFF,,,
fresho!,Banana - Robusta,Rs.49,47% OFF,,,
Fresho,Coconut - Medium,Rs.43,27% OFF,,,
Fresho,Orange - Imported,Rs.159.94,27% OFF,,,
fresho!,"Apple - Red Delicious, Regular",Rs.342,27% OFF,,,
fresho!,Sprouts - Channa Brown,Rs.49,27% OFF,,,
fresho!,Celery - Hydroponically Grown,Rs.65.01,27% OFF,,,
fresho!,Lollo Rosso Lettuce - Hydroponically Grown With Live Roots,Rs.81.53,27% OFF,,,
fresho!,"Pear - Beauty, Rich In Fiber, Vitamin C, Great For Gut Health",Rs.349,27% OFF,,,
fresho!,Apple - Green,Rs.143,27% OFF,,,
fresho!,Coconut with Husk - Pooja Coconut,Rs.40,27% OFF,,,
fresho!,Hydroponics Italian Basil,Rs.50.09,27% OFF,,,
fresho!,Plum - Imported,Rs.247,27% OFF,,,
