Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
fresho!,"Tender Coconut Water - No Added Sugar, Flavours",Rs.43,14% OFF,,4,2631 Ratings
bb Gooddiet,Multigrain Energy Bar Chocolate Chunk Vanilla,Rs.30,25% OFF,,4,405 Ratings
Tata Sampann,"100% Pure Premium Cashews Whole - Premium Quality Kaju, Rich In Protein, Magnesium, & Phosphorus, Premium Nuts & Dry Fruits|",Rs.1100.38,Rs.70 OFF,1 kg - Pouch,4,977 Ratings
Figaro,Olive Oil,Rs.3279.99,18% OFF,2 l - Tin,4.4,2341 Ratings
BORGES,Original Extra Virgin Olive Oil,Rs.1440,28% OFF,1 L - Pet Bottle,4.3,3309 Ratings
MOOZ,Organic Tofu - Soy Paneer,Rs.100,,,3.9,3406 Ratings
Emperia,Premium Tea - With 20% Extra Long Leaf,Rs.438,30% OFF,,3.9,18 Ratings
Emperia,Kadak Tea,Rs.378,34% OFF,,3.9,26 Ratings
Nutella,Ferrero Hazelnut Spread with Cocoa,Rs.227.05,Rs.12 OFF,180 g - Jar,4.3,5174 Ratings
Tata Sampann,"100% Pure Premium Raisins Seedless - Premium Quality Kishmish, Source Of Potassium, Premium Dry Fruits",Rs.92.96,Rs.10 OFF,200 g - Pouch,4.1,732 Ratings
Bertolli,Extra Light Tasting Olive Oil,Rs.2328.99,42% OFF,2 L - Bottle,4.4,916 Ratings
Happilo,Premium Seedless Green Raisins,Rs.135,18% OFF,,4.1,2064 Ratings
Ferrero Rocher,Moments Chocolates,Rs.244.02,Rs.5 OFF,,4.2,106 Ratings
Nescafe Gold,Blend Instant Coffee Powder,Rs.1050,,185 g - Jar,4.5,2484 Ratings
Samyang,Buldak Ramen Noodles Hot Chicken - Carbonara,Rs.150,,,4.4,789 Ratings
True Elements,"Rolled Oats - Gluten Free, High Protein & Fibre",Rs.400,,1 kg - (Matt Pouch),4.2,1227 Ratings
4700BC,Makka Popcorn - Corn Kernels,Rs.36,10% OFF,,4.1,1298 Ratings
Happilo,100% Natural Kashmiri Deluxe Walnuts Kernels,Rs.340,20% OFF,,3.7,605 Ratings
Britannia,"Treat Croissant - Cocoa Creme Filling, 100% Veg, Soft",Rs.18.2,9% OFF,,4.1,8629 Ratings
Tasties,Jeera Cookies,Rs.22,12% OFF,,3.9,1281 Ratings
Heinz,Beanz - Baked Beans In Tomato Sauce,Rs.150,,,4.4,267 Ratings
Epigamia,Fruit Yogurt - Alphonso Mango,Rs.35,,,3.8,1813 Ratings
Del Monte,Sliced Black Olives,Rs.185.25,Rs.10 OFF,,4,819 Ratings
Samyang,Ramen Noodle Soup - Kimchi,Rs.120,,,4.2,324 Ratings
Happilo,Premium Californian Roasted & Salted Pistachios,Rs.367,Rs.28 OFF,,4.1,1801 Ratings
Puramate,Culinary Essence - Vanilla,Rs.35,,,4.1,647 Ratings
Kapiva,Kerala Virgin Coconut Oil - Cold Pressed,Rs.379,16% OFF,,4.2,131 Ratings
MOOZ,Organic Masala Tofu - Soy Paneer,Rs.110,,,3.9,782 Ratings
bb Gooddiet,Millet Murukku,Rs.65,27% OFF,,3.7,444 Ratings
4700BC,Nutty Tuxedo Chocolate Gourmet Popcorn,Rs.191.25,15% OFF,,4.3,267 Ratings
