Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
bb Royal,Elbow Macaroni,Rs.37,38% OFF,,4,1880 Ratings
Cadbury Oreo,Chocolate Flavour Creme Sandwich Biscuit,Rs.128.79,19% OFF,481.25 g - (5 Packs x 96.25 g Each),4.2,3197 Ratings
bb Royal,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Poha, Easy To Cook",Rs.149,25% OFF,,4.2,3045 Ratings
Cadbury Bournville,Rich Cocoa 70% Dark Chocolate Bar,Rs.95.7,13% OFF,,4.2,1949 Ratings
Tasties Origins,Chaat Papdi,Rs.65,40% OFF,,4,602 Ratings
Mother's Recipe,Appalam,Rs.45,10% OFF,,4.1,3693 Ratings
Emperia,Premium Tea - With 20% Extra Long Leaf,Rs.438,30% OFF,,3.9,18 Ratings
Emperia,Kadak Tea,Rs.378,34% OFF,,3.9,26 Ratings
Cadbury 5 Star,Chocolate Bar,Rs.20,,38 g,4.2,3769 Ratings
Cadbury Bournville,Cranberry Dark Chocolate Bar,Rs.95.7,13% OFF,,4.2,3173 Ratings
Parle Platina,Hide N Seek Milano Finest Choco Filled Biscuits,Rs.85,50% OFF,250 g,4.3,488 Ratings
bb Gooddiet,Multigrain Energy Bar Chocolate Chunk Vanilla,Rs.30,25% OFF,,4,405 Ratings
Bagrrys,Bagrry`S Choco+ With 3 Great Grains - Oats  Whole Wheat And Ric 1.2 g,Rs.380.8,32% OFF,,4.1,144 Ratings
Kissan,"Fresh Tomato Ketchup - 100% Real, For Dipping Pakodas, Samosas",Rs.225,Rs.5 OFF,2 kg,4.1,6444 Ratings
Cadbury Dairy Milk,Chocolate Bar,Rs.20,,,4.2,1705 Ratings
Britannia,"JimJam Cream Biscuit - Crunchy, Ready To Eat",Rs.31.5,10% OFF,138 g,4.2,3927 Ratings
Parle,Gluco Biscuits - Parle-G,Rs.94,Rs.6 OFF,800 g - Pouch,4.1,12830 Ratings
Cadbury Oreo,Vanilla Flavour Creme Sandwich Biscuit,Rs.225,25% OFF,918.75 g - (7 Packs x 131.25 g Each),4,4231 Ratings
Kurkure,"Namkeen - Puffcorn, Yummy Cheese",Rs.10,,,4.2,579 Ratings
Quaker,Rolled Oats,Rs.179,10% OFF,1 kg - Pouch,4.2,8827 Ratings
Lay's,Potato Chips - India's Masala Magic,Rs.20,,50 g - Pouch,4.1,20736 Ratings
Haldiram,Bhujia Namkeen,Rs.125,,400 g,4.2,1815 Ratings
Cadbury Gems,Minis Chocolate Home Treats Pack,Rs.80,20% OFF,126.4 g,4.2,2010 Ratings
Britannia,"Treat Croissant - Cocoa Creme Filling, 100% Veg, Soft",Rs.18.2,9% OFF,,4.1,8629 Ratings
Britannia,NutriChoice Sugar Free Cream Cracker,Rs.45,,300 g,4.1,8634 Ratings
Britannia,50-50 Sweet & Salty Biscuits,Rs.10,,62.8 g,4.1,4938 Ratings
Britannia,Nutrichoice Thin Arrowroot Biscuits,Rs.39.2,2% OFF,,4.2,4677 Ratings
Lotte,"Choco Pie - Original, With Rich Marshmallow, No Preservatives",Rs.148,13% OFF,28 g - (Pack of 12),4,1705 Ratings
Kissan,Mixed Fruit Jam - Delicious & Flavourful,Rs.320,,1 kg,4.1,11016 Ratings
Lay's,Potato Chips - West Indies Hot 'N' Sweet Chilli Flavour,Rs.10,,,4.1,18035 Ratings
Britannia,Little Hearts Biscuits,Rs.28.2,6% OFF,75 g,4.2,12159 Ratings
Britannia,"Nice Time Coconut Biscuit -  Ready To Eat, Crunchy & Sweet",Rs.23.75,5% OFF,143 g,4.1,4244 Ratings
Sunfeast,Mom's Magic - Rich Cashew & Almond Cookies,Rs.95,27% OFF,584 g - Pouch,4.2,4963 Ratings
